REF_DATE,GEO,PRODUCT,STORAGE,UOM,VECTOR,COORDINATE,VALUE
Jan-70,Canada,Carrots,Cold and common storage,Tonnes,v722358,1.3.1,29526
Jan-70,Canada,Cabbage,Cold and common storage,Tonnes,v722366,1.4.1,1955
Jan-70,Maritime provinces,Potatoes,Cold and common storage,Tonnes,v722343,2.1.1,725
Jan-70,Maritime provinces,Onions,Cold and common storage,Tonnes,v722351,2.2.1,147
Jan-70,Maritime provinces,Carrots,Cold and common storage,Tonnes,v722359,2.3.1,2949
Jan-70,Maritime provinces,Cabbage,Cold and common storage,Tonnes,v722367,2.4.1,508
Jan-70,Quebec,Potatoes,Cold and common storage,Tonnes,v722344,3.1.1,95
Jan-70,Quebec,Onions,Cold and common storage,Tonnes,v722352,3.2.1,2631
Jan-70,Quebec,Carrots,Cold and common storage,Tonnes,v722360,3.3.1,3271
Jan-70,Quebec,Cabbage,Cold and common storage,Tonnes,v722368,3.4.1,618
Jan-70,Ontario,Potatoes,Cold and common storage,Tonnes,v722345,4.1.1,106
Jan-70,Ontario,Onions,Cold and common storage,Tonnes,v722353,4.2.1,22260
Jan-70,Ontario,Carrots,Cold and common storage,Tonnes,v722361,4.3.1,21713
Jan-70,Ontario,Cabbage,Cold and common storage,Tonnes,v722369,4.4.1,112
Jan-70,Manitoba,Potatoes,Cold and common storage,Tonnes,v722346,5.1.1,0
Jan-70,Manitoba,Onions,Cold and common storage,Tonnes,v722354,5.2.1,81
Jan-70,Manitoba,Carrots,Cold and common storage,Tonnes,v722362,5.3.1,105
Jan-70,Manitoba,Cabbage,Cold and common storage,Tonnes,v722370,5.4.1,54
Jan-70,Saskatchewan,Potatoes,Cold and common storage,Tonnes,v722347,6.1.1,2
Jan-70,Saskatchewan,Onions,Cold and common storage,Tonnes,v722355,6.2.1,66
Jan-70,Saskatchewan,Carrots,Cold and common storage,Tonnes,v722363,6.3.1,22
Jan-70,Saskatchewan,Cabbage,Cold and common storage,Tonnes,v722371,6.4.1,28
Jan-70,Alberta,Potatoes,Cold and common storage,Tonnes,v722348,7.1.1,94
Jan-70,Alberta,Onions,Cold and common storage,Tonnes,v722356,7.2.1,102
Jan-70,Alberta,Carrots,Cold and common storage,Tonnes,v722364,7.3.1,1007
Jan-70,Alberta,Cabbage,Cold and common storage,Tonnes,v722372,7.4.1,196
Jan-70,British Columbia,Potatoes,Cold and common storage,Tonnes,v722349,8.1.1,19
Jan-70,British Columbia,Onions,Cold and common storage,Tonnes,v722357,8.2.1,1055
Jan-70,British Columbia,Carrots,Cold and common storage,Tonnes,v722365,8.3.1,459
Jan-70,British Columbia,Cabbage,Cold and common storage,Tonnes,v722373,8.4.1,437
Feb-70,Canada,Potatoes,Cold and common storage,Tonnes,v722342,1.1.1,839
Feb-70,Canada,Onions,Cold and common storage,Tonnes,v722350,1.2.1,14238
Feb-70,Canada,Carrots,Cold and common storage,Tonnes,v722358,1.3.1,21025
Feb-70,Canada,Cabbage,Cold and common storage,Tonnes,v722366,1.4.1,1009
Feb-70,Maritime provinces,Potatoes,Cold and common storage,Tonnes,v722343,2.1.1,604
Feb-70,Maritime provinces,Onions,Cold and common storage,Tonnes,v722351,2.2.1,151
Feb-70,Maritime provinces,Carrots,Cold and common storage,Tonnes,v722359,2.3.1,1520
Feb-70,Maritime provinces,Cabbage,Cold and common storage,Tonnes,v722367,2.4.1,354
Feb-70,Quebec,Potatoes,Cold and common storage,Tonnes,v722344,3.1.1,56
Feb-70,Quebec,Onions,Cold and common storage,Tonnes,v722352,3.2.1,1380
Feb-70,Quebec,Carrots,Cold and common storage,Tonnes,v722360,3.3.1,2642
Feb-70,Quebec,Cabbage,Cold and common storage,Tonnes,v722368,3.4.1,275
Feb-70,Ontario,Potatoes,Cold and common storage,Tonnes,v722345,4.1.1,89
Feb-70,Ontario,Onions,Cold and common storage,Tonnes,v722353,4.2.1,11619
Feb-70,Ontario,Carrots,Cold and common storage,Tonnes,v722361,4.3.1,15966
Feb-70,Ontario,Cabbage,Cold and common storage,Tonnes,v722369,4.4.1,85
Feb-70,Manitoba,Potatoes,Cold and common storage,Tonnes,v722346,5.1.1,0
Feb-70,Manitoba,Onions,Cold and common storage,Tonnes,v722354,5.2.1,159
Feb-70,Manitoba,Carrots,Cold and common storage,Tonnes,v722362,5.3.1,91
Feb-70,Manitoba,Cabbage,Cold and common storage,Tonnes,v722370,5.4.1,64
Feb-70,Saskatchewan,Potatoes,Cold and common storage,Tonnes,v722347,6.1.1,2
Feb-70,Saskatchewan,Onions,Cold and common storage,Tonnes,v722355,6.2.1,124
Feb-70,Saskatchewan,Carrots,Cold and common storage,Tonnes,v722363,6.3.1,36
Feb-70,Saskatchewan,Cabbage,Cold and common storage,Tonnes,v722371,6.4.1,20
Feb-70,Alberta,Potatoes,Cold and common storage,Tonnes,v722348,7.1.1,72
Feb-70,Alberta,Onions,Cold and common storage,Tonnes,v722356,7.2.1,276
Feb-70,Alberta,Carrots,Cold and common storage,Tonnes,v722364,7.3.1,502
Feb-70,Alberta,Cabbage,Cold and common storage,Tonnes,v722372,7.4.1,68
Feb-70,British Columbia,Potatoes,Cold and common storage,Tonnes,v722349,8.1.1,16
Feb-70,British Columbia,Onions,Cold and common storage,Tonnes,v722357,8.2.1,528
Feb-70,British Columbia,Carrots,Cold and common storage,Tonnes,v722365,8.3.1,269
Feb-70,British Columbia,Cabbage,Cold and common storage,Tonnes,v722373,8.4.1,143
Mar-70,Canada,Potatoes,Cold and common storage,Tonnes,v722342,1.1.1,680
Mar-70,Canada,Onions,Cold and common storage,Tonnes,v722350,1.2.1,9894
Mar-70,Canada,Carrots,Cold and common storage,Tonnes,v722358,1.3.1,14966
Mar-70,Canada,Cabbage,Cold and common storage,Tonnes,v722366,1.4.1,645
Mar-70,Maritime provinces,Potatoes,Cold and common storage,Tonnes,v722343,2.1.1,503
Mar-70,Maritime provinces,Onions,Cold and common storage,Tonnes,v722351,2.2.1,138
Mar-70,Maritime provinces,Carrots,Cold and common storage,Tonnes,v722359,2.3.1,192
Mar-70,Maritime provinces,Cabbage,Cold and common storage,Tonnes,v722367,2.4.1,106
Mar-70,Quebec,Potatoes,Cold and common storage,Tonnes,v722344,3.1.1,46
Mar-70,Quebec,Onions,Cold and common storage,Tonnes,v722352,3.2.1,874
Mar-70,Quebec,Carrots,Cold and common storage,Tonnes,v722360,3.3.1,997
Mar-70,Quebec,Cabbage,Cold and common storage,Tonnes,v722368,3.4.1,271
Mar-70,Ontario,Potatoes,Cold and common storage,Tonnes,v722345,4.1.1,62
Mar-70,Ontario,Onions,Cold and common storage,Tonnes,v722353,4.2.1,7852
Mar-70,Ontario,Carrots,Cold and common storage,Tonnes,v722361,4.3.1,13206
Mar-70,Ontario,Cabbage,Cold and common storage,Tonnes,v722369,4.4.1,76
Mar-70,Manitoba,Potatoes,Cold and common storage,Tonnes,v722346,5.1.1,0
Mar-70,Manitoba,Onions,Cold and common storage,Tonnes,v722354,5.2.1,113
Mar-70,Manitoba,Carrots,Cold and common storage,Tonnes,v722362,5.3.1,181
